hex,lat,lon,time
a13c43,33.941446,-118.402719,1696118400.016
ac3ee9,33.946974,-118.402519,1696118400.016
abc40d,33.946896,-118.40176,1696118400.016
aaa2f6,33.949448,-118.399378,1696118400.016
48ae04,33.939331,-118.394782,1696118400.016
600b24,33.937271,-118.383725,1696118400.016
00e066,34.200079,-118.363137,1696118400.016
a5e1db,33.799164,-118.336221,1696118400.016
ac9466,33.92347,-118.335884,1696118400.016
a7fa2d,33.817783,-118.146931,1696118400.016
aa9afc,33.818596,-118.146048,1696118400.016
ac0b96,33.80762,-118.13756,1696118400.016
a11ad4,33.673508,-117.866905,1696118400.016
a6bf5a,33.676354,-117.865076,1696118400.016
aa97d1,33.679776,-117.862916,1696118400.016
ae4f20,32.797076,-117.762003,1696118400.016
ab82ee,33.976546,-117.639227,1696118400.016
a4671d,33.978862,-117.636266,1696118400.016
aa7b78,34.05799,-117.603908,1696118400.016
a406c9,34.060003,-117.595797,1696118400.016
ac078b,34.059711,-117.587399,1696118400.016
ada51e,47.622688,-117.538227,1696118400.016
a476e6,33.127748,-117.276026,1696118400.016
a85f20,32.735068,-117.205203,1696118400.016
a76df8,32.733962,-117.201125,1696118400.016
a7f302,32.732975,-117.198701,1696118400.016
a5bd0b,32.733194,-117.196123,1696118400.016
424786,32.734707,-117.189621,1696118400.016
aaa247,32.731384,-117.1849,1696118400.016
a85f6f,32.813496,-117.144305,1696118400.016
ad2e57,32.812042,-117.13121,1696118400.016
c02ff6,47.776955,-116.827841,1696118400.016
a45409,43.564387,-116.239684,1696118400.016
a1600b,43.567681,-116.224692,1696118400.016
a32ad5,43.567577,-116.218712,1696118400.016
a9a492,36.210159,-115.202079,1696118400.016
0d0b89,36.081184,-115.171709,1696118400.016
a41cc4,36.083633,-115.169778,1696118400.016
a03c7e,36.08725,-115.166931,1696118400.016
~31481e,36.084869,-115.166287,1696118400.016
a2fde8,36.088131,-115.166216,1696118400.016
~3148a1,36.081802,-115.164272,1696118400.016
aa22e6,36.08719,-115.163615,1696118400.016
~314d74,36.089401,-115.163326,1696118400.016
4860ba,36.098167,-115.160308,1696118400.016
a60804,36.099266,-115.156717,1696118400.016
aaa9d8,36.089715,-115.156427,1696118400.016
a8955e,36.085979,-115.155802,1696118400.016
aaaa64,36.078787,-115.155141,1696118400.016
~314d3f,36.099294,-115.154352,1696118400.016
abd1c5,36.082372,-115.152979,1696118400.016
a51b58,36.082488,-115.151387,1696118400.016
ac1701,36.079216,-115.151095,1696118400.016
abe80e,36.082054,-115.148292,1696118400.016
ab5e6c,36.081985,-115.146275,1696118400.016
ac0048,36.0798,-115.145831,1696118400.016
a1bf3a,36.079171,-115.144856,1696118400.016
a3d7dc,36.085305,-115.137902,1696118400.016
a958d2,36.085361,-115.137434,1696118400.016
a42323,36.082798,-115.136819,1696118400.016
a57229,36.079536,-115.136361,1696118400.016
a7d2f1,36.082255,-115.135944,1696118400.016
a12625,36.081336,-115.13593,1696118400.016
ac7e09,36.080894,-115.1346,1696118400.016
a9238a,36.077554,-115.131036,1696118400.016
a9a419,36.081278,-115.129706,1696118400.016
a43458,36.079579,-115.129692,1696118400.016
a4870d,36.080847,-115.129692,1696118400.016
a600e4,36.077542,-115.124067,1696118400.016
a58e1e,36.077557,-115.123215,1696118400.016
ad2ce1,36.076425,-115.121656,1696118400.016
a1d105,32.66737,-114.593176,1696118400.016
aae7b1,33.018036,-114.241443,1696118400.016
c03140,51.106629,-114.021358,1696118400.016
c01e1f,51.133094,-114.01577,1696118400.016
c06a71,51.133503,-114.012718,1696118400.016
c1e985,51.10421,-114.005424,1696118400.016
~c1e972,51.112565,-114.002056,1696118400.016
~c1ea18,51.130022,-113.994446,1696118400.016
c063ce,53.290306,-113.560753,1696118400.016
a51bf5,33.686314,-112.08109,1696118400.016
aabd56,43.515678,-112.068499,1696118400.016
a04b22,33.425554,-112.021366,1696118400.016
a28eb7,33.427769,-112.020996,1696118400.016
a56862,33.430442,-112.015915,1696118400.016
a35283,33.433992,-112.008754,1696118400.016
a801de,33.434073,-112.008278,1696118400.016
a1ea70,33.439753,-112.007983,1696118400.016
a3c549,33.43284,-112.004424,1696118400.016
a2e28f,33.436169,-112.00383,1696118400.016
a27fdb,33.430138,-112.003349,1696118400.016
ac2173,33.433887,-112.002476,1696118400.016
a57d42,33.437937,-112.00235,1696118400.016
abdc9b,33.434294,-112.000024,1696118400.016
a06461,33.438158,-111.999744,1696118400.016
ab1496,33.437531,-111.999724,1696118400.016
abc0c1,33.433502,-111.999449,1696118400.016
ab8880,33.437519,-111.997266,1696118400.016
aa0e62,33.438011,-111.997073,1696118400.016
a49570,33.432141,-111.995316,1696118400.016
a5780f,33.439043,-111.994993,1696118400.016
ac377b,33.432129,-111.994395,1696118400.016
a4421d,40.788943,-111.993973,1696118400.016
aa922b,33.431059,-111.99369,1696118400.016
a73410,33.432152,-111.993681,1696118400.016
~354d52,40.776421,-111.993149,1696118400.016
aa8864,33.434201,-111.993115,1696118400.016
a526e2,33.436831,-111.992303,1696118400.016
aa55b5,33.438019,-111.992289,1696118400.016
~34019f,33.435711,-111.992267,1696118400.016
a48e46,40.78561,-111.992096,1696118400.016
a34ae6,40.789124,-111.991791,1696118400.016
ab3133,40.786617,-111.99115,1696118400.016
a3b05d,40.788265,-111.990067,1696118400.016
a36a13,40.786685,-111.989822,1696118400.016
a4c849,40.788105,-111.989441,1696118400.016
~354099,40.79148,-111.988293,1696118400.016
ac7e60,40.786835,-111.9879,1696118400.016
~354bc3,40.79147,-111.987305,1696118400.016
~354916,40.791355,-111.985275,1696118400.016
~354880,40.79162,-111.985,1696118400.016
a2c992,40.786441,-111.983128,1696118400.016
a324b0,40.78473,-111.982753,1696118400.016
~3544db,40.804317,-111.979086,1696118400.016
a03038,40.800888,-111.978394,1696118400.016
a32367,40.805351,-111.978378,1696118400.016
a01f13,40.799194,-111.978165,1696118400.016
~354d06,40.787865,-111.97731,1696118400.016
~354567,40.776362,-111.96991,1696118400.016
~354b7c,40.7772,-111.969738,1696118400.016
~354ee5,40.776548,-111.969239,1696118400.016
a54280,40.775963,-111.959,1696118400.016
a481f5,33.620759,-111.915793,1696118400.016
addf61,33.619758,-111.915307,1696118400.016
a7f289,33.62204,-111.91442,1696118400.016
a653f7,33.631405,-111.902283,1696118400.016
adeca5,32.121574,-110.939873,1696118400.016
a2ed5a,32.120136,-110.938792,1696118400.016
a28812,32.119881,-110.938362,1696118400.016
a37335,43.604656,-110.736551,1696118400.016
a047e3,47.047943,-109.459362,1696118400.016
a3a895,45.802595,-108.522692,1696118400.016
a78fa5,35.15199,-106.790071,1696118400.016
ad3d4e,35.033131,-106.619611,1696118400.016
a86df1,35.036133,-106.615995,1696118400.016
a29391,35.047655,-106.614089,1696118400.016
a891e5,35.041638,-106.607237,1696118400.016
a7a510,42.901405,-106.46033,1696118400.016
a33a3c,42.902251,-106.459596,1696118400.016
